"","callTime_GMT","marketId","inplay","selectionId","competitorStatus","bckPrc1","bckPrc2","bckPrc3","bckSz1","bckSz2","bckSz3","layPrc1","layPrc2","layPrc3","laySz1","laySz2","laySz3"
"1","2017-04-27 15:29:04",1.131267462,FALSE,12739439,"ACTIVE",3.45,3.4,3.35,17.95,24.27,20.73,3.5,3.55,3.6,20.31,330.77,24.03
"2","2017-04-27 15:29:04",1.131267462,FALSE,11660356,"ACTIVE",3.1,3.05,3,56.94,55.55,52.64,3.15,3.2,3.25,14.5,83.73,147.47
"3","2017-04-27 15:29:04",1.131267462,FALSE,11768862,"ACTIVE",5.7,5.6,5.5,55.03,215.24,13.4,5.8,5.9,6,6.45,18.93,450.9
"4","2017-04-27 15:29:04",1.131267462,FALSE,1337959,"ACTIVE",7.2,7,6.8,169.33,209.42,22.41,7.6,7.8,8,41.14,30.14,26.35
"5","2017-04-27 15:29:04",1.131267462,FALSE,12936316,"ACTIVE",13,12,11.5,5.44,11.34,3.99,14,14.5,15,8.97,17.05,46.17
"6","2017-04-27 15:29:04",1.131267462,FALSE,8523336,"ACTIVE",95,90,85,5.58,2.08,4.5,120,170,190,2.62,7.75,5.11
"7","2017-04-27 15:29:04",1.131267462,FALSE,11627076,"REMOVED",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2017-04-27 15:29:04",1.131267462,FALSE,11604471,"REMOVED",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2017-04-27 15:29:05",1.131267462,FALSE,12739439,"ACTIVE",3.45,3.4,3.35,17.95,24.27,20.73,3.5,3.55,3.6,20.31,330.77,24.03
"10","2017-04-27 15:29:05",1.131267462,FALSE,11660356,"ACTIVE",3.1,3.05,3,56.94,55.55,52.64,3.15,3.2,3.25,14.5,83.73,147.47
"11","2017-04-27 15:29:05",1.131267462,FALSE,11768862,"ACTIVE",5.7,5.6,5.5,55.03,215.24,13.4,5.8,5.9,6,6.45,18.93,450.9
"12","2017-04-27 15:29:05",1.131267462,FALSE,1337959,"ACTIVE",7.2,7,6.8,169.33,209.42,22.41,7.6,7.8,8,41.14,30.14,26.35
"13","2017-04-27 15:29:05",1.131267462,FALSE,12936316,"ACTIVE",13,12,11.5,5.44,6.97,3.99,14,14.5,15,8.99,17.05,46.17
"14","2017-04-27 15:29:05",1.131267462,FALSE,8523336,"ACTIVE",95,90,85,5.58,2.08,4.5,120,170,190,2.62,7.75,5.11
"15","2017-04-27 15:29:05",1.131267462,FALSE,11627076,"REMOVED",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2017-04-27 15:29:05",1.131267462,FALSE,11604471,"REMOVED",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2017-04-27 15:29:06",1.131267462,FALSE,12739439,"ACTIVE",3.45,3.4,3.35,17.95,24.27,20.73,3.5,3.55,3.6,20.31,330.77,24.03
"18","2017-04-27 15:29:06",1.131267462,FALSE,11660356,"ACTIVE",3.1,3.05,3,56.94,55.55,52.64,3.15,3.2,3.25,14.5,83.73,147.47
"19","2017-04-27 15:29:06",1.131267462,FALSE,11768862,"ACTIVE",5.7,5.6,5.5,55.03,215.24,13.4,5.8,5.9,6,6.45,18.93,450.9
"20","2017-04-27 15:29:06",1.131267462,FALSE,1337959,"ACTIVE",7.2,7,6.8,169.33,209.42,22.41,7.6,7.8,8,41.14,30.14,26.35
"21","2017-04-27 15:29:06",1.131267462,FALSE,12936316,"ACTIVE",13,12,11.5,5.44,6.97,3.99,14,14.5,15,8.99,17.05,46.17
